trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.42, 'e': 0.6465587967553006}",20,3,-28.42590570630674,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
89,False,"{'a': 0.42, 'e': 0.6433260027715241}",30,2,-76.14810677230348,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 1}",1
90,False,"{'a': 0.42, 'e': 0.6401093727576664}",20,0,-254.81867337597018,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 5}",0
91,False,"{'a': 0.42, 'e': 0.6369088258938781}",20,0,-132.59660336189626,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
92,False,"{'a': 0.42, 'e': 0.6337242817644086}",20,0,-94.53541113305789,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
93,False,"{'a': 0.42, 'e': 0.6305556603555866}",20,0,-84.79647309977672,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
94,False,"{'a': 0.42, 'e': 0.6274028820538087}",25,0,-124.32196957199618,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
95,False,"{'a': 0.42, 'e': 0.6242658676435396}",20,14,-8.419684396219715,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.42, 'e': 0.621144538305322}",30,0,-115.43770742633453,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
97,False,"{'a': 0.42, 'e': 0.6180388156137954}",25,7,-47.10315334404485,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
98,False,"{'a': 0.42, 'e': 0.6149486215357264}",30,0,-127.01987158131799,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",1
99,False,"{'a': 0.42, 'e': 0.6118738784280477}",20,0,-116.56111460327149,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
100,False,"{'a': 0.42, 'e': 0.6088145090359075}",20,5,-1.4591723576406723,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.42, 'e': 0.6057704364907279}",20,0,-42.08371149825056,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
102,False,"{'a': 0.42, 'e': 0.6027415843082743}",25,0,-24.673857452375046,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
103,False,"{'a': 0.42, 'e': 0.599727876386733}",20,0,-64.3489964640334,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
104,False,"{'a': 0.42, 'e': 0.5967292370047993}",20,0,-17.980881847025994,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
105,False,"{'a': 0.42, 'e': 0.5937455908197753}",25,0,-56.89081257036277,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
106,False,"{'a': 0.42, 'e': 0.5907768628656764}",20,1,-68.12311595332272,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
107,False,"{'a': 0.42, 'e': 0.587822978551348}",20,3,10.176729241784098,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.42, 'e': 0.5848838636585912}",20,0,-35.77546409719215,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
109,False,"{'a': 0.42, 'e': 0.5819594443402983}",30,15,-34.2100733843233,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.42, 'e': 0.5790496471185967}",20,0,-119.88052006214416,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
111,False,"{'a': 0.42, 'e': 0.5761543988830038}",20,0,-79.45358807923854,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
112,False,"{'a': 0.42, 'e': 0.5732736268885887}",25,19,-31.86000994317474,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.42, 'e': 0.5704072587541459}",20,0,-46.120754763580784,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
114,False,"{'a': 0.42, 'e': 0.5675552224603752}",20,0,-115.28918956600694,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
115,False,"{'a': 0.42, 'e': 0.5647174463480732}",30,0,29.582424682397498,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.42, 'e': 0.5618938591163328}",20,0,-87.86173208330901,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
117,False,"{'a': 0.42, 'e': 0.5590843898207511}",20,2,-25.971121600233783,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
118,False,"{'a': 0.42, 'e': 0.5562889678716474}",20,8,-35.22968902704283,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.42, 'e': 0.5535075230322892}",20,0,-49.401734912558,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
120,False,"{'a': 0.42, 'e': 0.5507399854171278}",25,0,-82.71637522496955,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
121,False,"{'a': 0.42, 'e': 0.5479862854900421}",30,17,0.24381695017833915,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.42, 'e': 0.5452463540625919}",20,0,-103.2046379111029,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
123,False,"{'a': 0.42, 'e': 0.542520122292279}",20,9,-38.87154513073005,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.42, 'e': 0.5398075216808176}",20,0,-3.80086672461675,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
125,False,"{'a': 0.42, 'e': 0.5371084840724134}",20,5,1.8396707925992561,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.42, 'e': 0.5344229416520514}",20,7,-23.96158635010101,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.42, 'e': 0.5317508269437912}",30,8,-133.86784739822926,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 3}",1
128,False,"{'a': 0.42, 'e': 0.5290920728090721}",20,9,-58.6983177281064,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
129,False,"{'a': 0.42, 'e': 0.5264466124450268}",25,0,-45.44663940801674,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
130,False,"{'a': 0.42, 'e': 0.5238143793828016}",20,0,0.9740964856482119,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.42, 'e': 0.5211953074858876}",25,0,-56.27931617140147,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
132,False,"{'a': 0.42, 'e': 0.5185893309484582}",35,0,-15.610798657609251,"{0: 33, 1: 0, 2: 0, 3: 1, 4: 1}",0
133,False,"{'a': 0.42, 'e': 0.515996384293716}",25,3,-6.501395690417099,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.42, 'e': 0.5134164023722474}",30,12,-73.29768337105808,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
135,False,"{'a': 0.42, 'e': 0.5108493203603861}",20,5,-42.067461615577876,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
136,False,"{'a': 0.42, 'e': 0.5082950737585842}",25,0,-51.98939726404432,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
137,False,"{'a': 0.42, 'e': 0.5057535983897913}",25,0,-22.147987277185152,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
138,False,"{'a': 0.42, 'e': 0.5032248303978423}",25,14,-29.507961714486058,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.42, 'e': 0.5007087062458531}",20,0,-11.944503048976003,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
140,False,"{'a': 0.42, 'e': 0.4982051627146238}",20,0,-40.37067888589741,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
141,False,"{'a': 0.42, 'e': 0.4957141369010507}",20,2,-15.043759385927302,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.42, 'e': 0.4932355662165454}",20,0,-106.6962908396464,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
143,False,"{'a': 0.42, 'e': 0.4907693883854627}",30,0,-33.36359673865228,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
144,False,"{'a': 0.42, 'e': 0.4883155414435354}",20,12,2.2387063067246653,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.42, 'e': 0.4858739637363177}",20,10,-41.76127203260504,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
146,False,"{'a': 0.42, 'e': 0.4834445939176361}",25,0,-118.90267539800776,"{0: 14, 1: 2, 2: 5, 3: 4, 4: 0}",0
147,False,"{'a': 0.42, 'e': 0.4810273709480479}",25,13,-43.11831930324867,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
148,False,"{'a': 0.42, 'e': 0.4786222340933077}",25,0,-10.984789210848152,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
149,False,"{'a': 0.42, 'e': 0.47622912292284114}",30,5,-41.50661072512258,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",1
150,False,"{'a': 0.42, 'e': 0.4738479773082269}",25,17,-8.016391792252358,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.42, 'e': 0.4714787374216858}",25,0,-56.046933730739305,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
152,False,"{'a': 0.42, 'e': 0.46912134373457737}",20,9,-15.522649238817749,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
153,False,"{'a': 0.42, 'e': 0.46677573701590447}",25,9,-7.363605620951266,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
154,False,"{'a': 0.42, 'e': 0.46444185833082496}",25,13,0.62531593497431,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
155,False,"{'a': 0.42, 'e': 0.46211964903917085}",25,13,18.3531212639187,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.42, 'e': 0.459809050793975}",20,0,-36.257409575388586,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
157,False,"{'a': 0.42, 'e': 0.4575100055400051}",20,11,-2.207912383922525,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.42, 'e': 0.45522245551230506}",25,11,-7.358148360510019,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.42, 'e': 0.45294634323474353}",20,15,-10.809575837085823,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.42, 'e': 0.45068161151856984}",25,0,-78.07109766133199,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
161,False,"{'a': 0.42, 'e': 0.44842820346097695}",20,3,-30.493804483584547,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.42, 'e': 0.4461860624436721}",30,21,15.899319601968859,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.42, 'e': 0.4439551321314537}",25,0,-72.99958437589743,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
164,False,"{'a': 0.42, 'e': 0.4417353564707964}",25,0,-116.1886094650608,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
165,False,"{'a': 0.42, 'e': 0.43952667968844245}",20,7,-14.075357914620765,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
166,False,"{'a': 0.42, 'e': 0.43732904629000025}",20,6,-6.977372271171809,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
167,False,"{'a': 0.42, 'e': 0.43514240105855023}",25,12,-85.16600993048921,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
168,False,"{'a': 0.42, 'e': 0.4329666890532575}",25,10,-20.8202072478096,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
169,False,"{'a': 0.42, 'e': 0.4308018556079912}",30,0,-20.550861257414304,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
170,False,"{'a': 0.42, 'e': 0.42864784632995123}",20,0,-68.25314857260946,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
171,False,"{'a': 0.42, 'e': 0.4265046070983015}",30,16,-14.956485381266003,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.42, 'e': 0.42437208406280996}",20,14,12.47678490099069,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.42, 'e': 0.4222502236424959}",20,9,-64.72769518412814,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
174,False,"{'a': 0.42, 'e': 0.42013897252428345}",20,0,11.44782364061616,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
175,False,"{'a': 0.42, 'e': 0.418038277661662}",20,0,-53.55564789551962,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
176,False,"{'a': 0.42, 'e': 0.4159480862733537}",25,19,-8.384505160215154,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.42, 'e': 0.41386834584198695}",25,15,-1.5579617573769264,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.42, 'e': 0.41179900411277703}",20,0,-15.678639700040005,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
179,False,"{'a': 0.42, 'e': 0.40974000909221314}",20,6,-21.3555987719678,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.42, 'e': 0.40769130904675205}",20,0,-0.40422550390486467,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
181,False,"{'a': 0.42, 'e': 0.4056528525015183}",20,0,-76.98638788462034,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
182,False,"{'a': 0.42, 'e': 0.4036245882390107}",20,6,-14.85864651746117,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
183,False,"{'a': 0.42, 'e': 0.40160646529781563}",25,16,5.067790001313583,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
